Epoch,Accuracy,Precision,Recall,F1 Score,,,,,,,,,,,,Epoch,Accuracy,Precision,Recall,F1 Score
1,71.99950325,0.658802556,0.719995032,0.667355176,,,,,,,,,,,,1,71.99950325,0.658802556,0.719995032,0.667355176
2,74.59347858,0.689621916,0.745934786,0.703627218,,,,,,,,,,,,2,74.59347858,0.689621916,0.745934786,0.703627218
3,75.93548437,0.70299547,0.759354844,0.720272942,,,,,,,,,,,,3,75.93548437,0.70299547,0.759354844,0.720272942
4,77.00427672,0.750606731,0.770042767,0.732916188,,,,,,,,,,,,4,77.00427672,0.750606731,0.770042767,0.732916188
5,77.40245426,0.771383657,0.774024543,0.738269287,,,,,,,,,,,,5,77.40245426,0.771383657,0.774024543,0.738269287
6,77.62444018,0.773225847,0.776244402,0.740863036,,,,,,,,,,,,6,77.62444018,0.773225847,0.776244402,0.740863036
7,77.9015345,0.784750298,0.779015345,0.7433992,,,,,,,,,,,,7,77.9015345,0.784750298,0.779015345,0.7433992
8,78.09014491,0.785428193,0.780901449,0.74571426,,,,,,,,,,,,8,78.09014491,0.785428193,0.780901449,0.74571426
9,78.24926069,0.795145021,0.782492607,0.746654541,,,,,,,,,,,,9,78.24926069,0.795145021,0.782492607,0.746654541
10,78.33231137,0.785882154,0.783323114,0.747838163,,,,,,,,,,,,10,78.33231137,0.785882154,0.783323114,0.747838163
11,78.4502899,0.794805087,0.784502899,0.749050753,,,,,,,,,,,,11,78.4502899,0.794805087,0.784502899,0.749050753
12,78.55352112,0.785841655,0.785535211,0.749861737,,,,,,,,,,,,12,78.55352112,0.785841655,0.785535211,0.749861737
13,78.61173421,0.791504955,0.786117342,0.750179999,,,,,,,,,,,,13,78.61173421,0.791504955,0.786117342,0.750179999
14,78.6606332,0.777216811,0.786606332,0.750834935,,,,,,,,,,,,14,78.6606332,0.777216811,0.786606332,0.750834935
15,78.72738421,0.782348509,0.787273842,0.751551039,,,,,,,,,,,,15,78.72738421,0.782348509,0.787273842,0.751551039
16,78.75377415,0.780300815,0.787537741,0.751871263,,,,,,,,,,,,16,78.75377415,0.780300815,0.787537741,0.751871263
17,78.79258288,0.777179007,0.787925829,0.75241967,,,,,,,,,,,,17,78.79258288,0.777179007,0.787925829,0.75241967
18,78.80888254,0.778204645,0.788088825,0.752462402,,,,,,,,,,,,18,78.80888254,0.778204645,0.788088825,0.752462402
19,78.89115704,0.779989651,0.78891157,0.753258111,,,,,,,,,,,,19,78.89115704,0.779989651,0.78891157,0.753258111
20,78.90823288,0.77936375,0.789082329,0.753408647,,,,,,,,,,,,20,78.90823288,0.77936375,0.789082329,0.753408647
21,78.98274564,0.781352528,0.789827456,0.754193687,,,,,,,,,,,,21,78.98274564,0.781352528,0.789827456,0.754193687
22,78.94781779,0.778927839,0.789478178,0.753532876,,,,,,,,,,,,22,78.94781779,0.778927839,0.789478178,0.753532876
23,78.99671678,0.778570623,0.789967168,0.754224084,,,,,,,,,,,,23,78.99671678,0.778570623,0.789967168,0.754224084
24,79.07278189,0.780984656,0.790727819,0.754764184,,,,,,,,,,,,24,79.07278189,0.780984656,0.790727819,0.754764184
25,79.08364833,0.778117651,0.790836483,0.755102322,,,,,,,,,,,,25,79.08364833,0.778117651,0.790836483,0.755102322
26,79.28933459,0.781460099,0.792893346,0.758210013,,,,,,,,,,,,26,79.28933459,0.781460099,0.792893346,0.758210013
27,79.19852216,0.777497658,0.791985222,0.757036657,,,,,,,,,,,,27,79.19852216,0.777497658,0.791985222,0.757036657
28,79.23422619,0.777603364,0.792342262,0.758068703,,,,,,,,,,,,28,79.23422619,0.777603364,0.792342262,0.758068703
29,79.29709633,0.778244786,0.792970963,0.758926653,,,,,,,,,,,,29,79.29709633,0.778244786,0.792970963,0.758926653
30,79.37316144,0.777960345,0.793731614,0.759996385,,,,,,,,,,,,30,79.37316144,0.777960345,0.793731614,0.759996385
31,79.47406413,0.78096423,0.794740641,0.76139313,,,,,,,,,,,,31,79.47406413,0.78096423,0.794740641,0.76139313
32,79.49036379,0.779721791,0.794903638,0.761790157,,,,,,,,,,,,32,79.49036379,0.779721791,0.794903638,0.761790157
33,79.46009299,0.77758526,0.79460093,0.761743815,,,,,,,,,,,,33,79.46009299,0.77758526,0.79460093,0.761743815
34,79.4717356,0.779243811,0.794717356,0.762372294,,,,,,,,,,,,34,79.4717356,0.779243811,0.794717356,0.762372294
35,79.47095943,0.777494709,0.794709594,0.762196347,,,,,,,,,,,,35,79.47095943,0.777494709,0.794709594,0.762196347
36,79.55478628,0.781107104,0.795547863,0.764036169,,,,,,,,,,,,36,79.55478628,0.781107104,0.795547863,0.764036169
37,79.60523763,0.781208676,0.796052376,0.764609413,,,,,,,,,,,,37,79.60523763,0.781208676,0.796052376,0.764609413
38,79.61765642,0.783582454,0.796176564,0.765135731,,,,,,,,,,,,38,79.61765642,0.783582454,0.796176564,0.765135731
39,79.67742186,0.784881177,0.796774219,0.766087183,,,,,,,,,,,,39,79.67742186,0.784881177,0.796774219,0.766087183
40,79.73485878,0.784580189,0.797348588,0.766798924,,,,,,,,,,,,40,79.73485878,0.784580189,0.797348588,0.766798924
41,79.72632086,0.785343713,0.797263209,0.767230384,,,,,,,,,,,,,,,,
42,79.69605005,0.785838321,0.7969605,0.766921849,,,,,,,,,,,,,,,,
43,79.7860863,0.785426805,0.797860863,0.768267818,,,,,,,,,,,,,,,,
44,79.79695274,0.7865362,0.797969527,0.767713399,,,,,,,,,,,,,,,,
45,79.78686247,0.785871546,0.797868625,0.768045012,,,,,,,,,,,,,,,,
46,79.75814401,0.786289459,0.79758144,0.767643956,,,,,,,,,,,,,,,,
47,79.83110442,0.785781938,0.798311044,0.768576849,,,,,,,,,,,,,,,,
48,79.77289133,0.786332422,0.797728913,0.768118391,,,,,,,,,,,,,,,,
49,79.77521985,0.784355928,0.797752199,0.768319804,,,,,,,,,,,,,,,,
50,79.80160979,0.785170783,0.798016098,0.768728391,,,,,,,,,,,,,,,,
51,79.79074334,0.785326564,0.797907433,0.768621019,,,,,,,,,,,,,,,,
52,79.80937153,0.785234335,0.798093715,0.76903391,,,,,,,,,,,,,,,,
53,79.87457019,0.78534017,0.798745702,0.769769277,,,,,,,,,,,,,,,,
54,79.83886616,0.784925898,0.798388662,0.769205673,,,,,,,,,,,,,,,,
55,79.84895643,0.785350329,0.798489564,0.769258465,,,,,,,,,,,,,,,,
