Epoch,Accuracy,Precision,Recall,F1 Score,,Accuracy,Accuracy,epoch,loss
1,71.8178784,0.674667937,0.718178784,0.674333492,,71.8178784,0.718178784,10,0.0992
2,76.25682063,0.74032399,0.762568206,0.724243571,,76.25682063,0.762568206,20,0.066
3,76.65034113,0.744658195,0.766503411,0.728556437,,76.65034113,0.766503411,30,0.0623
4,77.0415331,0.76524597,0.770415331,0.73226667,,77.0415331,0.770415331,40,0.0574
5,77.27904251,0.777690871,0.772790425,0.734416109,,77.27904251,0.772790425,50,0.0505
6,77.44514386,0.774184216,0.774451439,0.737380465,,77.44514386,0.774451439,60,0.0385
7,77.64151602,0.776329672,0.77641516,0.739121293,,77.64151602,0.77641516,70,0.0385
8,77.74862811,0.777568218,0.777486281,0.740044487,,77.74862811,0.777486281,80,0.0344
9,77.80761738,0.778652583,0.778076174,0.740430717,,77.80761738,0.778076174,90,0.0341
10,77.92016269,0.770256008,0.779201627,0.741179836,,77.92016269,0.779201627,100,0.0336
11,78.08005464,0.772127028,0.780800546,0.742404521,,78.08005464,0.780800546,,
12,78.14758183,0.774466865,0.781475818,0.743100795,,78.14758183,0.781475818,,
13,78.17630029,0.784157769,0.781763003,0.743833179,,78.17630029,0.781763003,,
14,78.29971204,0.785001745,0.78299712,0.745405061,,78.29971204,0.78299712,,
15,78.32920667,0.783848058,0.783292067,0.745933365,,78.32920667,0.783292067,,
16,78.44097581,0.784520372,0.784409758,0.747236921,,78.44097581,0.784409758,,
17,78.47357514,0.780765373,0.784735751,0.747997585,,78.47357514,0.784735751,,
18,78.51781709,0.776461683,0.785178171,0.748252611,,78.51781709,0.785178171,,
19,78.54964024,0.771519716,0.785496402,0.749159257,,78.54964024,0.785496402,,
20,78.63579562,0.777184545,0.786357956,0.749555076,,78.63579562,0.786357956,,
21,78.63191474,0.780423437,0.786319147,0.750057992,,78.63191474,0.786319147,,
22,78.71186072,0.780459093,0.787118607,0.750805486,,78.71186072,0.787118607,,
23,78.71496542,0.781619968,0.787149654,0.751151711,,78.71496542,0.787149654,,
24,78.7064275,0.778775087,0.787064275,0.751218798,,78.7064275,0.787064275,,
25,78.80810637,0.782054938,0.788081064,0.752221925,,78.80810637,0.788081064,,
26,78.8313916,0.779131351,0.788313916,0.752704287,,78.8313916,0.788313916,,
27,78.81276341,0.777305221,0.788127634,0.752516954,,78.81276341,0.788127634,,
28,78.89969496,0.780216152,0.78899695,0.753069173,,78.89969496,0.78899695,,
29,78.94548926,0.780967375,0.789454893,0.754255597,,78.94548926,0.789454893,,
30,78.93927987,0.781492397,0.789392799,0.754516943,,78.93927987,0.789392799,,
31,79.03086846,0.783401895,0.790308685,0.755663926,,79.03086846,0.790308685,,
32,79.04251108,0.783594872,0.790425111,0.755646096,,79.04251108,0.790425111,,
33,79.11003827,0.783538915,0.791100383,0.756660781,,79.11003827,0.791100383,,
34,79.18067015,0.781744167,0.791806701,0.757981768,,79.18067015,0.791806701,,
35,79.19153659,0.782360334,0.791915366,0.758645652,,79.19153659,0.791915366,,
36,79.23500237,0.783115917,0.792350024,0.759427067,,79.23500237,0.792350024,,
37,79.24198794,0.783823729,0.792419879,0.759726276,,79.24198794,0.792419879,,
38,79.33900976,0.785367739,0.793390098,0.759860139,,79.33900976,0.793390098,,
39,79.36928056,0.783846976,0.793692806,0.760185199,,79.36928056,0.793692806,,
40,79.39799902,0.78629012,0.79397999,0.760455548,,79.39799902,0.79397999,,
41,79.43137453,0.78647811,0.794313745,0.761284341,,79.43137453,0.794313745,,
42,79.47716883,0.787374604,0.794771688,0.762329793,,79.47716883,0.794771688,,
43,79.47328795,0.78709111,0.79473288,0.762458853,,79.47328795,0.79473288,,
44,79.50588728,0.786728644,0.795058873,0.763050522,,79.50588728,0.795058873,,
45,79.54469601,0.786364286,0.79544696,0.763590579,,79.54469601,0.79544696,,
46,79.58816179,0.788455799,0.795881618,0.764194754,,79.58816179,0.795881618,,
47,79.57341447,0.787375464,0.795734145,0.765017052,,79.57341447,0.795734145,,
48,79.5571148,0.785763747,0.795571148,0.764444463,,79.5571148,0.795571148,,
49,79.58738561,0.786826289,0.795873856,0.765360098,,79.58738561,0.795873856,,
50,79.55789098,0.786825644,0.79557891,0.765214757,,79.55789098,0.79557891,,
51,79.58660944,0.786650427,0.795866094,0.765432155,,79.58660944,0.795866094,,
52,79.61455172,0.78783783,0.796145517,0.765079627,,79.61455172,0.796145517,,
53,79.59204266,0.787314545,0.795920427,0.76467944,,79.59204266,0.795920427,,
54,79.61843259,0.789967195,0.796184326,0.765650019,,79.61843259,0.796184326,,
55,79.64094165,0.789233103,0.796409417,0.765958247,,79.64094165,0.796409417,,
56,79.6851836,0.791287908,0.796851836,0.7662785,,79.6851836,0.796851836,,
57,79.691393,0.789426251,0.79691393,0.766570754,,79.691393,0.79691393,,
58,79.71390206,0.790692128,0.797139021,0.767133236,,79.71390206,0.797139021,,
59,79.7309779,0.788807415,0.797309779,0.766449876,,79.7309779,0.797309779,,
60,79.79151952,0.791030991,0.797915195,0.767927636,,79.79151952,0.797915195,,
61,79.81170006,0.791819473,0.798117001,0.768048744,,79.81170006,0.798117001,,
62,79.8225665,0.791953036,0.798225665,0.769507701,,79.8225665,0.798225665,,
63,79.85361348,0.791199588,0.798536135,0.769246558,,79.85361348,0.798536135,,
64,79.83653764,0.791329458,0.798365376,0.769262959,,79.83653764,0.798365376,,
65,79.80937153,0.790984769,0.798093715,0.768519442,,79.80937153,0.798093715,,
